id,name,current_price,price_change_24h,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
arbitrum,Arbitrum,0.392093,-0.021614186866989682,-5.22451,0.417461,0.383117,2.39,0.245747,01-08-25_14-13-00
vechain,VeChain,0.02331276,-0.000711483526356291,-2.96152,0.02418011,0.02238679,0.280991,0.00191713,01-08-25_14-13-00
fasttoken,Fasttoken,4.58,-0.011878736557198621,-0.25887,4.6,4.57,4.61,0.398142,01-08-25_14-13-00
cosmos,Cosmos Hub,4.23,-0.16751195164928667,-3.80947,4.41,4.13,44.45,1.16,01-08-25_14-13-00
render-token,Render,3.63,-0.294579429986781,-7.51241,3.95,3.58,13.53,0.03665669,01-08-25_14-13-00
polygon-ecosystem-token,POL (ex-MATIC),0.203423,-0.01446021352037366,-6.63667,0.217884,0.198919,1.29,0.153392,01-08-25_14-13-00
worldcoin-wld,Worldcoin,0.985765,-0.07799138256478277,-7.33169,1.074,0.960927,11.74,0.583741,01-08-25_14-13-00
binance-staked-sol,Binance Staked SOL,180.25,-9.832972684154782,-5.17299,191.34,177.83,297.96,100.21,01-08-25_14-13-00
official-trump,Official Trump,8.87,-0.3310133126415007,-3.59824,9.29,8.73,73.43,4.29,01-08-25_14-13-00
story-2,Story,5.97,-0.22483842304556312,-3.62955,6.54,5.79,7.31,1.0,01-08-25_14-13-00
susds,sUSDS,1.061,0.00021798,0.02054,1.061,1.061,1.088,0.961716,01-08-25_14-13-00
sky,Sky,0.081235,-0.003473901290407311,-4.10097,0.084823,0.080029,0.100535,0.03582727,01-08-25_14-13-00
rocket-pool-eth,Rocket Pool ETH,4174.28,-171.41326121122256,-3.94444,4345.69,4093.39,4814.31,887.26,01-08-25_14-13-00
fetch-ai,Artificial Superintelligence Alliance,0.663913,-0.02487797819195703,-3.61183,0.69534,0.645166,3.45,0.00816959,01-08-25_14-13-00
sei-network,Sei,0.290282,-0.019559595912901462,-6.31278,0.311144,0.28296,1.14,0.095364,01-08-25_14-13-00
quant-network,Quant,113.9,-6.073796080847117,-5.06254,120.59,111.77,427.42,0.215773,01-08-25_14-13-00
flare-networks,Flare,0.02332169,-0.000989197561691305,-4.06895,0.02433763,0.02277621,0.150073,0.00827405,01-08-25_14-13-00
